model;ALL_accuracy;ALL_balanced_accuracy;ALL_f1_score;ALL_precision;ALL_recall;ALL_stdev;BTU_accuracy;BTU_balanced_accuracy;BTU_f1_score;BTU_precision;BTU_recall;BTU_stdev;HEC_accuracy;HEC_balanced_accuracy;HEC_f1_score;HEC_precision;HEC_recall;HEC_stdev;HFF_accuracy;HFF_balanced_accuracy;HFF_f1_score;HFF_precision;HFF_recall;HFF_stdev;SPS_accuracy;SPS_balanced_accuracy;SPS_f1_score;SPS_precision;SPS_recall;SPS_stdev;SSH_accuracy;SSH_balanced_accuracy;SSH_f1_score;SSH_precision;SSH_recall;SSH_stdev
DecisionTree;0.7280701754385964;0.5684738541881399;0.5586669753230418;0.5692786073111887;0.5684738541881399;0.06529549289145424;0.5888888888888889;0.5258161706179999;0.5148767378129211;0.5270398170290217;0.5258161706179999;0.07228205395508955;0.7016129032258065;0.6580091154819415;0.6598420515279736;0.6959874398477339;0.6580091154819415;0.04042972606720876;0.5396825396825397;0.5429407120298593;0.5400748497353938;0.5471595694649619;0.5429407120298593;0.06781327692518703;0.6981481481481482;0.70102969348659;0.6963077534015171;0.7050893628797068;0.70102969348659;0.04191942128746993;0.3832350049164208;0.2997072284808134;0.2989382295956304;0.3072101426862251;0.2997072284808134;0.0444540954121773
DecisionTree_SMOTETomek;0.7526315789473684;0.619150690579262;0.6076735049051262;0.6090072831211243;0.619150690579262;0.06931029164949158;0.5481481481481482;0.5154167495783349;0.510194903329458;0.5547171343160007;0.5154167495783349;0.058141083783101725;0.7419354838709676;0.7150096330802853;0.7109593355891083;0.7237397553501671;0.7150096330802853;0.052606708942422205;0.5317460317460317;0.5982689731074744;0.5944579337065724;0.6079290033002819;0.5982689731074744;0.05387520365990367;0.7407407407407406;0.7449113984674329;0.7403341551936914;0.7456901873681572;0.7449113984674329;0.041569582389238455;0.38326088081560833;0.36432084686801663;0.3496353389389535;0.3476632761561185;0.36432084686801663;0.04063052657142376
DecisionTree_SMOTEENN;0.21052631578947364;0.2828798185941043;0.15276129363933313;0.1322206280117188;0.2828798185941043;0.03415191424267789;0.40185185185185185;0.49525265554228975;0.40896732059035634;0.4149231055626818;0.49525265554228975;0.08742341771124638;0.47311827956989244;0.5362886760984588;0.4694959915868531;0.5051736856105715;0.5362886760984588;0.07935215234106838;0.42857142857142855;0.5091994449229591;0.3767843632213424;0.498321106778521;0.5091994449229591;0.08094248675752659;0.6018518518518519;0.6066211685823754;0.5541212988354507;0.5800316873301056;0.6066211685823754;0.13716521803640583;0.20554520519588057;0.32632390321069565;0.2354844065729631;0.21553292173209593;0.32632390321069565;0.04487944405478528
DecisionTree_OverSampler;0.7087719298245615;0.5854634783206212;0.5783144702440712;0.5837045861890582;0.5854634783206212;0.11250393698151996;0.5685185185185185;0.5478272878882634;0.5535805501170488;0.5760298592511128;0.5478272878882634;0.049520881929023985;0.7258064516129034;0.7047252415458938;0.6941295575283166;0.7014502749889701;0.7047252415458938;0.11034006054616484;0.5253968253968254;0.5568176380514882;0.565004052947557;0.5888763843758197;0.5568176380514882;0.09131792414555347;0.7166666666666667;0.7203663793103449;0.7198081536773583;0.7233647660838413;0.7203663793103449;0.03951341462426241;0.43459866480360193;0.37201257861635223;0.35173505198403276;0.3628579505816843;0.37201257861635223;0.042201987096358244
DecisionTree_SMOTE;nan;nan;nan;nan;nan;nan;0.524074074074074;0.4746899932723104;0.48083968263803784;0.5156686444254853;0.4746899932723104;0.07073883512128931;0.739247311827957;0.7537626524039568;0.7386572896050381;0.7401734660284909;0.7537626524039568;0.08012518064271107;0.5158730158730158;0.5643183558235237;0.5680982570284766;0.5943551022123071;0.5643183558235237;0.02546898099418967;0.6907407407407408;0.6933668582375478;0.6904607333109252;0.6932025046116893;0.6933668582375478;0.03150770435867344;0.36572995911607925;0.3470876433140584;0.3452557850202648;0.3630671232312381;0.3470876433140584;0.04677660043438961
DecisionTree_BorderlineSmote;0.7403508771929824;0.6006149934721363;0.5891737341455573;0.6103462575121422;0.6006149934721363;0.06218963084745355;0.5574074074074074;0.5173943350010424;0.5189668478512294;0.5455354475766694;0.5173943350010424;0.07591607904545587;0.7204301075268816;0.6990424430641822;0.7005990878206964;0.7127849775082079;0.6990424430641822;0.03657127709940829;0.6126984126984126;0.6431177624653077;0.6495748855222426;0.6663945520248605;0.6431177624653077;0.09019279100683357;0.6925925925925926;0.6965397509578545;0.6963513383656972;0.6980419363259865;0.6965397509578545;0.06460710827430481;0.37152616053407855;0.334768777693306;0.33297967165783504;0.3570690278622199;0.334768777693306;0.05617483649595961
DecisionTree_SVMSMOTE;nan;nan;nan;nan;nan;nan;0.5666666666666668;0.531992675346334;0.519748946806536;0.5249100953263883;0.531992675346334;0.051781361630954946;0.7956989247311829;0.780920749942489;0.7718796961923177;0.7755359209556865;0.780920749942489;0.04525446163411703;0.5746031746031746;0.5980476600631639;0.5987033590640788;0.6066579465663974;0.5980476600631639;0.0572824350012543;0.687037037037037;0.6888170498084292;0.6867921820075527;0.6948145647729812;0.6888170498084292;0.04999004213867992;0.3846711173213269;0.34244303914115237;0.34337581973632597;0.3608908902816195;0.34244303914115237;0.04670065545962022
DecisionTree_OverSampler_UnderSampler;0.14912280701754385;0.14990036418607847;0.12159675998883719;0.1588397669432847;0.14990036418607847;0.02589214929390105;0.4777777777777777;0.5034990500691721;0.4762409150546192;0.48325645437580284;0.5034990500691721;0.05474388651969231;0.5994623655913979;0.6407874683689901;0.589351002642924;0.6098310614680583;0.6407874683689901;0.07366698218995327;0.3888888888888889;0.4354663125657958;0.3759727038443191;0.367804060425307;0.4354663125657958;0.07542619879998218;0.687037037037037;0.6916906130268199;0.6888590078134719;0.689461447895315;0.6916906130268199;0.03977263799271527;0.2878176266625265;0.3036580121485782;0.27044235836171143;0.28173717148896216;0.3036580121485782;0.05379364492438736
DecisionTree_OverSampler_OneSidedSelection;0.36491228070175435;0.2953342953342954;0.26455714826219956;0.30866545152889774;0.2953342953342954;0.14357581382367351;0.42037037037037034;0.4147815632876608;0.39195951277643903;0.40965332183256536;0.4147815632876608;0.028481248513495653;0.6720430107526881;0.641236053600184;0.6264436174150306;0.6447204913052088;0.641236053600184;0.09487858607867874;0.5333333333333333;0.5782550961814527;0.5549725173367032;0.5799031710312631;0.5782550961814527;0.08188975540663021;0.6481481481481481;0.6392480842911877;0.5575329274415098;0.6290529732949738;0.6392480842911877;0.022566978158482888;0.3933912953475134;0.35607947258890654;0.34348065244800213;0.3703285903368045;0.35607947258890654;0.05230388483893315
DecisionTree_OverSampler_ClusterCentroids;0.21403508771929827;0.168745275888133;0.15647622987671406;0.1981468208884175;0.168745275888133;0.033298706417543435;0.45740740740740743;0.493557301438399;0.46412768568114354;0.4774483494142558;0.493557301438399;0.05474426358359112;0.6397849462365591;0.6497009431792041;0.6210719998962358;0.623103800149836;0.6497009431792041;0.07043010565599482;0.4619047619047619;0.5089601875777586;0.43289063465529587;0.43906202680840156;0.5089601875777586;0.08010009868641066;0.7018518518518518;0.7059386973180076;0.7031925474772415;0.7071341435216542;0.7059386973180076;0.03673891785430082;0.32165036485017856;0.3646184179203047;0.31964182805544866;0.33894998336677173;0.3646184179203047;0.032206589900151676
