model;ALL_accuracy;ALL_balanced_accuracy;ALL_f1_score;ALL_precision;ALL_recall;ALL_stdev;BTU_accuracy;BTU_balanced_accuracy;BTU_f1_score;BTU_precision;BTU_recall;BTU_stdev;HEC_accuracy;HEC_balanced_accuracy;HEC_f1_score;HEC_precision;HEC_recall;HEC_stdev;HFF_accuracy;HFF_balanced_accuracy;HFF_f1_score;HFF_precision;HFF_recall;HFF_stdev;SPS_accuracy;SPS_balanced_accuracy;SPS_f1_score;SPS_precision;SPS_recall;SPS_stdev;SSH_accuracy;SSH_balanced_accuracy;SSH_f1_score;SSH_precision;SSH_recall;SSH_stdev
AdaBoost_SMOTE_UnderSampler;nan;nan;nan;nan;nan;nan;0.2740740740740741;0.37035060975609757;0.3092854555323468;0.501265963865766;0.37035060975609757;0.0647090771872869;0.4112903225806452;0.38160297331492976;0.36568318355653834;0.4481113195542042;0.38160297331492976;0.08881259824227984;0.45555555555555555;0.5041929849746387;0.437562707894734;0.4518145324288663;0.5041929849746387;0.062975517676154;0.725925925925926;0.7292265325670497;0.728202812212848;0.7375213348914564;0.7292265325670497;0.041594153820273455;0.28634270040883925;0.355384884158469;0.30660421923152403;0.3581607429856955;0.355384884158469;0.04340176277004957
AdaBoost_SMOTE_ClusterCentroids;nan;nan;nan;nan;nan;nan;0.3092592592592593;0.4390542147554342;0.35377027937119315;0.5035594596331084;0.4390542147554342;0.11357486071522419;0.45967741935483875;0.42733134920634924;0.4066329964071782;0.5200643567012889;0.42733134920634924;0.06378863474858304;0.5158730158730158;0.5623385012919897;0.49423374322675856;0.4835498847146376;0.5623385012919897;0.05270792137150864;0.7666666666666666;0.7719109195402298;0.7696304408511464;0.7809149211702898;0.7719109195402298;0.03652463391911324;0.34822491331573774;0.3415019466906259;0.32400522615829097;0.3809013006994859;0.3415019466906259;0.05255733736519503
AdaBoost_BorderlineSmote_UnderSampler;0.18421052631578946;0.18850065278636705;0.16579571675424354;0.22675164260823985;0.18850065278636705;0.05115201086130022;0.2814814814814815;0.4086885269202343;0.33188781696017683;0.4315211010601226;0.4086885269202343;0.05281236611433663;0.45161290322580644;0.44944933287324584;0.4347523010428586;0.5849902561040959;0.44944933287324584;0.15749498433777667;0.4428571428571429;0.5113407981625037;0.43030740764006326;0.4578746652349866;0.5113407981625037;0.07656045102403862;0.7814814814814816;0.7836446360153256;0.7831124028567061;0.7880719999135773;0.7836446360153256;0.01835899847188671;0.3363478755886767;0.371224495281099;0.32799152449236896;0.3412955619477875;0.371224495281099;0.023223969346358554
AdaBoost_BorderlineSmote_OneSidedSelection;0.5368421052631579;0.38455988455988455;0.3542351312359391;0.395253714719205;0.38455988455988455;0.12662667513234033;0.3240740740740741;0.3394517406712529;0.25580194413949564;0.28450959620956945;0.3394517406712529;0.07879347305265062;0.4811827956989247;0.38892267655854607;0.32861837556901546;0.37475629218276274;0.38892267655854607;0.15914385932789218;0.5476190476190477;0.5232318882189683;0.5402477831264386;0.6507209819402676;0.5232318882189683;0.06214296575001542;0.6777777777777779;0.6666666666666666;0.5613447868283272;0.5530651203631215;0.6666666666666666;0.009480451809547643;0.430225637840915;0.3435123751161487;0.3302158598908351;0.3835435410313797;0.3435123751161487;0.08385534721169671
AdaBoost_BorderlineSmote_ClusterCentroids;0.4824561403508772;0.4035765821480107;0.40978168726513803;0.4694647934271931;0.4035765821480107;0.082607517567059;0.32962962962962966;0.4664984981143518;0.3739713444863067;0.4937032211979672;0.4664984981143518;0.07104064039441113;0.41935483870967744;0.417846359558316;0.4132673815807673;0.5733282172620408;0.417846359558316;0.13600570375173182;0.4857142857142857;0.5090140204804288;0.48348574732871863;0.492244176325873;0.5090140204804288;0.1009549119013236;0.7388888888888889;0.7433548850574713;0.7439008083158459;0.7554418420841292;0.7433548850574713;0.024297554477116377;0.3671143197226103;0.4048559756106926;0.37471153219776404;0.40829092823810154;0.4048559756106926;0.07142686848912097
RandomForest;0.8631578947368421;0.6220882292310863;0.6204349258812041;0.6398011583330295;0.6220882292310863;0.03537261363814305;0.7018518518518518;0.6302592529421798;0.5951001313226144;0.6126360944880089;0.6302592529421798;0.05162500462999357;0.879032258064516;0.841468253968254;0.8584996514699256;0.9076717801299443;0.841468253968254;0.02975459929312544;0.5555555555555555;0.4672516508756819;0.50341962605854;0.6917608969689555;0.4672516508756819;0.03601388084389063;0.8055555555555555;0.8067528735632185;0.8046529610026311;0.8095797269484727;0.8067528735632185;0.021209443359572897;0.5109713812554987;0.35128301118867156;0.3207724183521974;0.38414203294258176;0.35128301118867156;0.04180948502420466
RandomForest_SMOTETomek;0.8736842105263157;0.6487837559266131;0.6342999181780863;0.6297090793772716;0.6487837559266131;0.012411954516878432;0.6962962962962963;0.6497588099569808;0.6374151240325824;0.6543252707210029;0.6497588099569808;0.03770268877367317;0.9059139784946236;0.8802399643432253;0.8942129360246364;0.9227749907097733;0.8802399643432253;0.04719435079750194;0.5952380952380952;0.6383685041630777;0.661321975678414;0.6962173369194634;0.6383685041630777;0.03404097613553565;0.7944444444444444;0.7966954022988507;0.7952864907687959;0.7965462130175488;0.7966954022988507;0.029830217988382396;0.5109066915075299;0.43906666359496543;0.42595936306059873;0.4386634394666155;0.43906666359496543;0.04534866904118085
RandomForest_SMOTEENN;0.22631578947368416;0.2762660619803477;0.1624748767281826;0.1636867769699599;0.2762660619803477;0.03967686469982261;0.462962962962963;0.5919270329941061;0.49374198643336803;0.5063943990448151;0.5919270329941061;0.07719182454657812;0.739247311827957;0.7836805555555556;0.7388871781986127;0.7632032969849017;0.7836805555555556;0.09535547418544947;0.46507936507936504;0.5955773279739688;0.43876915223296503;0.5467973319163605;0.5955773279739688;0.06797553180471994;0.688888888888889;0.7029454022988505;0.6363279576816835;0.6159987872869801;0.7029454022988505;0.10402276026133081;0.2511256016146561;0.41124146643014564;0.30029281826520854;0.27624637846750516;0.41124146643014564;0.018898627977572156
RandomForest_OverSampler;0.8736842105263157;0.6505359719645433;0.6349358449917842;0.6287744931566442;0.6505359719645433;0.025631544335529378;0.6851851851851852;0.6324857747266285;0.6037406058577802;0.6330667230317558;0.6324857747266285;0.03933584714695876;0.8978494623655914;0.8609673337934206;0.8753869786877705;0.9103367881800376;0.8609673337934206;0.027792994952499633;0.5873015873015873;0.6311190066035027;0.6529599960610265;0.6902276386129081;0.6311190066035027;0.02020812139378662;0.7814814814814816;0.7840038314176244;0.7822099706397605;0.7870299259739665;0.7840038314176244;0.03933654973515852;0.49196553330228227;0.3959213567704134;0.38191902287058804;0.3961362762558048;0.3959213567704134;0.04439662372217269
RandomForest_SMOTE;nan;nan;nan;nan;nan;nan;0.7018518518518518;0.6639063595618473;0.6481153336913066;0.6745441547008229;0.6639063595618473;0.04826405786150092;0.8763440860215054;0.8482854554865424;0.8556383993728982;0.8800516814103773;0.8482854554865424;0.03045527580888635;0.626984126984127;0.6685448368264906;0.6921711463235546;0.7252348728034234;0.6685448368264906;0.03507118034752964;0.8074074074074074;0.8081297892720306;0.8058009496170665;0.8107556483926984;0.8081297892720306;0.025112278261656126;0.5228225430833722;0.43624684190721924;0.4297487093905172;0.44522611024858755;0.43624684190721924;0.04476518988744087
